year,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),rain (mm),weathercode (wmo code),surface_pressure (hPa),cloudcover (%),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),windspeed_10m (km/h),winddirection_10m (°),windgusts_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),direct_radiation (W/m²),diffuse_radiation (W/m²)
1990,27.005993150684933,82.18219178082192,23.67134703196347,0.14133561643835615,13.909474885844748,1008.3094748858448,38.03059360730594,0.18462328767123287,0.6430011415525114,19.233630136986303,139.07945205479453,27.917579908675798,28.228013698630136,0.2440505707762557,179.04326484018264,63.34200913242009
1991,26.997819634703195,81.37134703196347,23.497682648401828,0.0969406392694064,11.884589041095891,1008.5560730593606,36.297488584474884,0.18858333333333333,0.6721974885844748,19.930148401826486,128.56666666666666,28.61730593607306,28.349440639269407,0.20397077625570778,178.62351598173515,66.34292237442922
1992,27.04976092896175,80.22654826958106,23.309915755919853,0.10038706739526411,11.070241347905283,1008.8554189435337,32.04382969034609,0.1931841985428051,0.7153335610200364,19.020366575591986,130.89321493624772,27.810553278688523,28.731750910746815,0.17888592896174865,181.27652550091074,66.56898907103825
1993,27.02349315068493,81.5466894977169,23.560764840182646,0.2044406392694064,15.40445205479452,1008.663002283105,40.099543378995435,0.1831826484018265,0.6665719178082192,17.56678082191781,131.64223744292238,26.09453196347032,28.190376712328767,0.24810410958904108,172.69805936073058,66.09360730593608
1994,26.977979452054797,81.83915525114155,23.575936073059363,0.1876027397260274,17.365753424657534,1008.3692922374429,42.284018264840185,0.18140182648401826,0.6540559360730593,19.810650684931506,142.7590182648402,29.323082191780824,27.870319634703197,0.30538105022831047,168.50582191780822,65.76735159817352
1995,27.02695205479452,82.15821917808219,23.694851598173514,0.1902853881278539,16.003424657534246,1008.2780707762557,42.74942922374429,0.18074429223744293,0.6430148401826484,17.017077625570778,129.5010273972603,25.566929223744292,28.197888127853883,0.2549775114155251,173.22134703196346,64.46358447488585
1996,26.940232240437158,82.49112021857924,23.669990892531878,0.25776411657559195,23.426001821493625,1007.6018784153006,48.29735883424408,0.17454918032786884,0.6304132513661203,17.509688069216757,112.05362021857924,25.620708105646628,27.74921448087432,0.31372643442622955,160.38387978142077,67.39594717668488
1997,26.951038812785388,81.23641552511415,23.42720319634703,0.14157534246575343,14.915182648401826,1009.3562557077627,38.47557077625571,0.1855068493150685,0.6753858447488584,18.063527397260273,128.77705479452055,26.60845890410959,27.9321803652968,0.2729590182648402,178.51849315068492,62.56849315068493
1998,27.54590182648402,80.3541095890411,23.82687214611872,0.10464611872146119,11.361415525114156,1008.8734246575342,33.168036529680364,0.1955068493150685,0.7281118721461187,17.314623287671232,109.17294520547945,25.871826484018268,29.06433789954338,0.18005707762557077,191.1574200913242,60.199885844748856
1999,27.0698401826484,81.77191780821917,23.651244292237443,0.2583561643835616,21.132762557077626,1007.4138127853881,49.38184931506849,0.17298173515981735,0.660574200913242,16.600365296803655,127.21997716894977,25.692020547945205,27.783287671232877,0.3379592465753425,153.03744292237442,69.48116438356165
2000,27.19030054644809,81.55851548269581,23.722415755919855,0.22906420765027322,18.476092896174862,1007.1956853369763,46.4966985428051,0.1755396174863388,0.674179189435337,16.42707194899818,136.43431238615665,25.32839253187614,27.855498633879783,0.3418212659380692,156.09448998178507,68.55202641165756
2001,27.166050228310503,81.8708904109589,23.770821917808217,0.2356164383561644,19.158561643835615,1007.5063242009132,45.15993150684932,0.17685616438356164,0.6605445205479452,17.913858447488582,145.14212328767124,26.94857305936073,27.940513698630138,0.33534566210045663,158.7890410958904,68.03812785388128
2002,27.018915525114156,81.67203196347032,23.57880136986301,0.18405251141552512,17.377739726027396,1008.4786757990867,40.95490867579909,0.18149086757990868,0.6617454337899544,19.256792237442923,133.33995433789954,28.280570776255708,27.74453196347032,0.3296696347031963,170.34132420091325,64.54509132420091
2003,26.920205479452054,82.57716894977169,23.671780821917807,0.24393835616438359,19.317351598173516,1008.4258333333335,46.43527397260274,0.17412328767123286,0.624777397260274,18.49433789954338,132.91027397260274,27.157305936073058,27.858744292237443,0.3032522831050228,159.29463470319635,68.13949771689498
2004,27.062682149362477,82.36760018214936,23.768271857923498,0.166905737704918,17.363957194899818,1008.0733378870673,42.80862932604736,0.18001479963570127,0.6383549635701276,18.147222222222222,141.92178961748633,26.99907786885246,27.859744990892533,0.32408048724954464,170.26741803278688,65.75842440801458
2005,27.062488584474885,81.7898401826484,23.65146118721461,0.21110730593607305,16.740068493150684,1008.4274543378996,43.43481735159818,0.17784703196347032,0.6590753424657534,17.322648401826484,128.80399543378996,25.980376712328766,28.049805936073057,0.2800140410958904,166.56575342465754,65.63561643835617
2006,27.24109589041096,81.51449771689498,23.769520547945206,0.17781963470319634,17.019178082191782,1008.0481621004567,42.205479452054796,0.1805216894977169,0.6760376712328767,19.053310502283104,132.46472602739726,28.265776255707763,27.99542237442922,0.3107334474885845,164.11278538812786,66.42294520547945
2007,27.262865296803653,81.38424657534246,23.762751141552513,0.19930365296803654,15.70228310502283,1007.6036301369863,44.53538812785388,0.17934132420091323,0.6820536529680366,17.47574200913242,133.7134703196347,26.192853881278538,28.23035388127854,0.29536232876712326,161.75376712328767,67.19817351598174
2008,27.118715846994533,81.82081056466302,23.71326275045537,0.22274590163934424,17.256944444444443,1007.5066598360655,45.963342440801455,0.1769990892531876,0.6595343806921676,16.35013661202186,130.73428961748633,24.80256147540984,27.864446721311474,0.325159266848816,161.95901639344262,67.88035063752277
2009,27.209897260273973,81.79646118721462,23.792477168949773,0.24769406392694066,17.613698630136987,1007.4741666666666,45.73436073059361,0.17582762557077625,0.6657945205479452,18.62867579908676,146.49988584474886,27.80917808219178,28.009965753424655,0.29879246575342466,155.79269406392694,67.61358447488584
2010,27.465228310502283,81.34383561643835,23.955776255707764,0.16708904109589043,14.845890410958905,1008.0673287671234,41.36369863013699,0.18491666666666667,0.6906267123287672,16.20107305936073,109.89429223744293,24.52051369863014,28.475673515981736,0.2822245433789954,176.78938356164383,63.9351598173516
2011,27.03809360730594,82.80456621004566,23.836826484018264,0.293162100456621,20.03173515981735,1007.1879680365296,50.74988584474886,0.16819406392694064,0.6209920091324201,17.668139269406392,132.6535388127854,26.549714611872147,27.626278538812787,0.35600479452054795,145.8760273972603,72.44006849315069
2012,27.238479052823315,81.43214936247723,23.749521857923497,0.1546903460837887,15.701161202185792,1007.525523679417,43.42987249544627,0.18108037340619307,0.6784278233151184,19.187306466302367,138.2992941712204,28.222370218579233,28.090892531876136,0.2919156420765027,163.94899817850637,67.02208561020036
2013,27.24283105022831,81.89006849315068,23.842979452054795,0.22721461187214612,18.05958904109589,1007.69600456621,47.43778538812786,0.17540068493150685,0.663365296803653,17.70813926940639,123.57294520547946,26.46449771689498,27.92704337899543,0.3393091324200913,156.40045662100457,68.02066210045662
2014,27.008858447488585,82.32454337899543,23.70236301369863,0.40383561643835614,21.576940639269406,1008.1022602739727,49.71232876712329,0.16953082191780822,0.6382762557077626,17.773641552511418,142.2294520547945,26.808995433789953,27.585753424657536,0.36694417808219176,149.1357305936073,68.03287671232877
2015,27.112591324200913,81.63162100456621,23.668458904109592,0.18521689497716895,16.005479452054793,1009.0017579908676,39.939611872146116,0.1822328767123288,0.6658869863013699,18.073047945205477,134.36221461187213,26.83747716894977,27.987020547945203,0.3233208904109589,173.19075342465754,63.416324200913245
2016,27.549066484517304,81.65482695810564,24.095241347905283,0.16843123861566484,14.34471766848816,1008.4871243169399,38.8882058287796,0.18585610200364297,0.6825933515482695,17.96322859744991,129.1830601092896,26.397074225865207,28.592816484517304,0.2866917122040073,174.5869763205829,64.4011839708561
2017,27.318789954337902,82.77705479452055,24.10510273972603,0.2805365296803653,21.923858447488584,1007.9172031963469,49.87557077625571,0.17013013698630136,0.6326404109589041,16.796974885844747,138.4950913242009,25.904509132420092,27.885593607305935,0.3677986301369863,147.9683789954338,71.3857305936073
2018,27.484474885844747,81.18116438356165,23.932397260273973,0.18894977168949773,16.065753424657533,1007.8241780821919,42.56769406392694,0.18358904109589042,0.6991027397260274,18.56763698630137,135.98059360730593,27.497294520547943,28.301712328767124,0.3010631278538813,165.50559360730594,67.02294520547945
2019,27.418858447488585,80.1593607305936,23.652031963470318,0.1357648401826484,13.709703196347032,1008.7772488584474,39.057420091324204,0.1907123287671233,0.7330525114155251,18.507796803652965,140.65399543378996,27.282785388127856,28.49267123287671,0.2468982876712329,175.32214611872146,65.0236301369863
2020,27.441621129326048,81.71482240437159,24.00792349726776,0.18812613843351547,17.08822859744991,1008.4431921675774,42.18852459016394,0.1805327868852459,0.6745434881602914,16.529098360655738,118.38228597449908,25.15004553734062,28.481853369763208,0.26373383424408015,167.06284153005464,66.44546903460838
2021,27.391472602739725,81.85456621004566,23.97924657534247,0.30829908675799084,20.583561643835615,1007.8240296803652,47.77762557077626,0.17541552511415526,0.6715171232876712,16.447043378995435,131.61780821917807,25.369394977168948,28.01697488584475,0.36021940639269406,155.44417808219177,68.42579908675799
2022,27.329301868239924,82.07890855457227,23.974569813176007,0.2729351032448378,23.924410029498524,1007.6586897738446,48.748893805309734,0.17250245821042282,0.6581637168141593,16.563667649950837,115.16629793510324,24.727777777777778,27.77745821042281,0.3803549655850541,150.11602753195675,71.59734513274336
