year,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),rain (mm),weathercode (wmo code),surface_pressure (hPa),cloudcover (%),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),windspeed_10m (km/h),winddirection_10m (°),windgusts_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),direct_radiation (W/m²),diffuse_radiation (W/m²)
1990,23.486278538812783,86.20045662100456,20.89923515981735,0.3651255707762557,20.183675799086757,947.709497716895,70.1546803652968,0.15323287671232877,0.43573858447488584,6.732808219178082,144.3123287671233,19.894931506849314,25.227020547945205,0.4018526255707762,151.11906392694064,70.72054794520548
1991,23.378607305936075,86.40399543378996,20.8562100456621,0.29244292237442926,18.788470319634705,947.8978310502283,71.52465753424657,0.15309132420091323,0.4224269406392694,6.505616438356164,138.69109589041096,19.141392694063928,25.07466894977169,0.40406312785388127,147.8458904109589,75.08025114155251
1992,23.25315346083789,86.11122495446266,20.664014116575594,0.32056010928961753,18.798155737704917,948.1403005464481,66.84301001821494,0.15401639344262297,0.43052254098360654,5.957604735883424,143.27823315118397,18.11448087431694,25.086202185792352,0.39990220856102004,149.37420309653916,74.63262750455374
1993,23.086187214611872,88.17157534246576,20.931312785388126,0.4130821917808219,21.466666666666665,947.9780593607305,72.9791095890411,0.14735958904109592,0.3600216894977169,5.7026369863013695,151.70285388127854,17.35154109589041,24.70076484018265,0.4505541095890411,141.23801369863014,75.79931506849314
1994,23.10021689497717,88.40114155251142,20.990673515981733,0.3914269406392694,21.98093607305936,947.781906392694,76.48253424657534,0.14470890410958906,0.35292579908675803,5.919954337899544,154.06381278538814,18.403127853881276,24.679965753424657,0.43825342465753425,139.64531963470318,73.63356164383562
1995,23.28022831050228,88.1398401826484,21.116278538812786,0.4176141552511416,22.749771689497717,947.5852853881278,76.20970319634704,0.14658561643835616,0.3647180365296803,5.593664383561644,148.48025114155251,17.14099315068493,24.924566210045665,0.44058036529680367,140.20513698630137,74.21940639269407
1996,23.086304644808745,88.93966302367942,21.0845514571949,0.4792805100182149,29.522085610200364,946.9854508196721,80.29462659380692,0.13958902550091076,0.3354838342440801,5.702618397085611,161.06477686703096,16.74936247723133,24.67290528233151,0.4585578324225865,127.55806010928961,76.99726775956285
1997,23.148618721461187,87.11210045662101,20.78318493150685,0.3607648401826484,20.2324200913242,948.6010730593608,72.95194063926941,0.151162100456621,0.3945570776255708,6.069531963470319,145.6818493150685,18.214737442922374,24.721826484018266,0.4299488584474886,149.774200913242,71.76894977168949
1998,24.033299086757992,84.42214611872146,21.03824200913242,0.35333333333333333,18.71027397260274,948.2409360730593,65.49931506849315,0.16135730593607306,0.5124086757990868,5.1587899543379,144.00719178082193,16.373892694063926,26.018013698630135,0.4076010273972603,156.9267123287671,70.2101598173516
1999,23.097705479452053,88.90970319634704,21.092511415525113,0.5214155251141553,25.620776255707764,946.8635388127854,81.98481735159817,0.13577283105022833,0.3366997716894977,5.111095890410959,161.98778538812786,16.580730593607306,24.68159817351598,0.47057762557077626,118.54029680365296,78.77545662100457
2000,23.216211293260475,88.71220400728598,21.163923041894353,0.44836065573770495,24.16655282331512,946.7163023679417,79.36168032786885,0.1390129781420765,0.346613160291439,5.068989071038251,172.83094262295083,16.39219034608379,24.768886612021856,0.4617603597449909,123.89981785063752,77.95742258652095
2001,23.255285388127852,88.58356164383562,21.182739726027396,0.41002283105022835,23.149543378995435,947.0390068493151,78.11449771689497,0.14186415525114154,0.35047488584474884,5.591187214611873,162.91723744292239,17.495673515981736,24.83937214611872,0.46537351598173515,130.56506849315068,76.42671232876712
2002,23.306255707762556,87.34646118721462,20.985091324200912,0.34672374429223746,20.661301369863015,947.8508561643836,73.66301369863014,0.148,0.3901221461187214,6.279520547945205,144.03002283105022,18.798778538812783,24.821438356164382,0.42044109589041095,145.47785388127855,70.97191780821917
2003,23.260365296803652,87.64942922374429,20.99579908675799,0.39673515981735163,22.554794520547944,947.7626598173516,75.68253424657534,0.14265867579908675,0.38019520547945207,6.425308219178082,140.6038812785388,19.052054794520547,24.89420091324201,0.42304474885844745,134.01963470319635,74.6115296803653
2004,23.285439435336976,88.06215846994536,21.107912112932603,0.340459927140255,20.658356102003644,947.5486111111111,73.78016848816029,0.14533469945355193,0.3674635701275046,6.083743169398907,149.89560564663023,18.39995446265938,24.808151183970853,0.42288809198542804,139.55954007285973,73.80897085610201
2005,23.382134703196346,86.75342465753425,20.922054794520548,0.3961073059360731,22.07340182648402,947.8190753424657,73.92123287671232,0.14614383561643837,0.41255365296803653,5.698949771689498,152.23881278538812,17.767888127853883,25.051118721461187,0.42460479452054795,137.67043378995433,73.17796803652968
2006,23.337294520547946,88.33630136986301,21.215011415525115,0.3923173515981735,21.962557077625572,947.5423858447489,74.17671232876712,0.14220776255707762,0.35968150684931505,5.473744292237443,153.15068493150685,17.295125570776253,24.79670091324201,0.45377351598173515,133.4203196347032,74.20730593607306
2007,23.379965753424656,88.23333333333333,21.233527397260275,0.4311529680365297,23.29132420091324,947.0805707762557,76.17865296803653,0.1419474885844749,0.36370319634703197,5.711244292237443,154.3296803652968,17.76760273972603,24.936232876712328,0.44371278538812786,131.9203196347032,74.62511415525114
2008,23.202698087431695,88.87613843351548,21.185667122040073,0.4697404371584699,24.58606557377049,946.961327413479,78.98269581056466,0.14002732240437157,0.3409005009107468,5.013729508196721,160.35667122040073,16.157274590163933,24.765050091074684,0.4697101548269581,126.81352459016394,76.74020947176685
2009,23.321940639269407,88.7851598173516,21.287842465753425,0.4636643835616438,24.045433789954338,947.0633447488585,76.65547945205479,0.1391974885844749,0.3449509132420091,5.952579908675799,162.99623287671233,18.667511415525112,24.786392694063924,0.45929794520547945,126.9046803652968,76.10787671232876
2010,23.677545662100457,87.50833333333334,21.372237442922373,0.4354566210045662,21.614155251141554,947.4548858447488,73.06164383561644,0.14927054794520547,0.39609360730593607,5.239657534246575,145.39531963470318,16.218093607305935,25.309863013698628,0.4388424657534246,141.54349315068492,73.43253424657534
2011,23.224874429223743,89.2763698630137,21.29126712328767,0.5505365296803653,26.739954337899544,946.7233904109589,81.62625570776255,0.13268721461187213,0.3267614155251141,5.736940639269406,155.95148401826484,17.6938698630137,24.691141552511414,0.4731046803652968,113.63173515981735,79.76872146118721
2012,23.330168488160293,88.6120218579235,21.264093806921675,0.4836293260473588,24.27572859744991,947.0698315118398,78.19820127504553,0.1401058743169399,0.35014230418943537,5.721493624772313,161.41632513661202,17.93365209471767,24.831580145719492,0.4633061247723133,128.47370218579235,75.85336976320583
2013,23.374783105022832,88.79292237442922,21.338139269406394,0.48976027397260274,25.432077625570777,947.1941324200913,78.3574200913242,0.1373139269406393,0.34661529680365294,5.5446689497716894,157.09874429223746,17.130547945205482,24.832819634703196,0.46846666666666664,123.85913242009133,75.71255707762558
2014,23.19150684931507,88.64748858447489,21.132397260273972,0.44674657534246576,23.940981735159816,947.5697602739725,76.6263698630137,0.13635958904109588,0.3456073059360731,6.209703196347032,153.74075342465753,18.746712328767124,24.642739726027397,0.45805114155251136,122.23150684931507,77.09726027397261
2015,23.455399543378995,87.02865296803652,21.06013698630137,0.35092465753424656,20.658789954337898,948.3751141552511,69.59235159817352,0.1478299086757991,0.4029360730593607,6.413595890410959,141.47054794520548,18.985502283105024,24.965605022831053,0.43254589041095887,145.18493150684932,70.1953196347032
2016,23.926548269581055,86.56045081967213,21.40510018214936,0.4319785974499089,21.20537340619308,948.0100182149363,69.95207194899818,0.15098588342440802,0.4342065118397086,5.62964480874317,149.81671220400727,17.442964480874316,25.588274134790527,0.4251771402550091,142.6082650273224,72.97279143897997
2017,23.535205479452053,88.87625570776255,21.517568493150684,0.528310502283105,25.141324200913242,947.4204794520548,78.2271689497717,0.13658561643835618,0.3450239726027397,5.597602739726027,159.51769406392694,17.34230593607306,25.039086757990866,0.46403242009132417,119.61563926940639,78.21438356164384
2018,23.6474200913242,87.64566210045662,21.379828767123286,0.4123059360730594,22.078082191780823,947.4421118721461,72.19303652968037,0.14641095890410957,0.38854680365296806,6.020981735159817,155.22488584474885,18.223961187214613,25.174600456621004,0.4438651826484018,139.64280821917808,73.48002283105023
2019,23.719805936073058,85.47191780821917,20.997043378995436,0.31133561643835617,18.483561643835618,948.2628767123288,66.42237442922375,0.15288013698630137,0.4596198630136986,6.514360730593608,148.7079908675799,19.173139269406395,25.258961187214613,0.4277011415525114,147.25022831050228,72.37488584474886
2020,23.825193533697632,86.71892076502732,21.343624772313298,0.4806693989071038,23.250796903460838,947.8856215846994,71.28734061930783,0.1475785519125683,0.4246243169398907,5.672529599271402,144.50933515482697,17.43241120218579,25.4235883424408,0.43502390710382516,138.16894353369764,73.26969489981785
2021,23.522568493150686,88.82111872146119,21.49214611872146,0.5442237442922374,26.29851598173516,947.3925342465753,76.86369863013698,0.13739383561643834,0.3477648401826484,5.532191780821917,160.27625570776254,17.003173515981732,25.00587899543379,0.46876312785388125,122.10650684931507,76.925
2022,23.500700589970503,88.92453294001966,21.494776302851523,0.563716814159292,31.221361848574237,947.1959562438544,77.96681415929204,0.13652163225172076,0.3431465093411996,5.2202802359882,165.3623402163225,15.247984267453294,24.943018682399213,0.4738947885939036,118.03982300884955,79.53724188790561
