year,temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),rain (mm),weathercode (wmo code),surface_pressure (hPa),cloudcover (%),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),windspeed_10m (km/h),winddirection_10m (°),windgusts_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),direct_radiation (W/m²),diffuse_radiation (W/m²)
1990,24.657557077625572,83.29509132420091,21.456278538812786,0.2778082191780822,18.173059360730594,963.5831164383561,64.97876712328767,0.15124086757990868,0.5574497716894977,5.6249315068493155,142.03504566210046,17.946575342465753,26.5088698630137,0.40598287671232874,138.1966894977169,72.89200913242009
1991,24.51304794520548,83.51095890410959,21.372248858447488,0.2370091324200913,16.963470319634702,963.7864155251142,65.40639269406392,0.15070091324200915,0.5430650684931507,5.349041095890411,132.63002283105024,16.822602739726026,26.36195205479452,0.4002739726027397,134.61198630136985,76.99292237442923
1992,24.42469262295082,83.68693078324226,21.333367486338798,0.2482126593806922,17.350865209471767,964.0596880692168,63.05020491803279,0.14941029143897996,0.5333834244080146,4.8864981785063755,141.3252504553734,16.070161657559197,26.336703096539164,0.396047131147541,134.22916666666666,76.97404371584699
1993,24.226221461187215,85.59509132420091,21.552180365296806,0.30269406392694065,18.87945205479452,963.9175570776257,68.50970319634703,0.14399657534246577,0.46141210045662095,4.911666666666666,142.0302511415525,15.781849315068493,25.81904109589041,0.42387568493150685,127.49908675799087,77.75662100456621
1994,24.166347031963472,86.15787671232877,21.610479452054793,0.30263698630136987,20.237671232876714,963.7119292237443,71.47191780821917,0.14175228310502283,0.4427054794520548,4.970011415525114,144.47968036529682,16.452682648401826,25.685433789954338,0.4344818493150685,127.34155251141553,75.51175799086758
1995,24.357910958904107,85.59223744292237,21.683059360730596,0.34444063926940643,19.874086757990867,963.4815410958905,70.5,0.14296461187214612,0.4651906392694064,4.763173515981736,139.48858447488584,15.320593607305936,26.010513698630138,0.423211301369863,126.54680365296804,75.95445205479452
1996,24.15869763205829,86.48998178506375,21.678187613843352,0.3515596539162113,25.72438524590164,962.9050318761385,75.96448087431693,0.13637067395264119,0.4278836520947177,5.01450364298725,162.18818306010928,15.538365209471767,25.63153460837887,0.4646037112932605,115.38615664845173,78.19626593806922
1997,24.187100456621003,85.27111872146119,21.450730593607304,0.2854566210045662,18.762100456621006,964.5239497716896,68.71164383561644,0.1474337899543379,0.47097488584474884,5.067671232876712,136.55,16.122260273972604,25.677682648401827,0.4315873287671233,136.43401826484018,74.22614155251142
1998,25.07396118721461,82.76027397260275,21.7425,0.2650684931506849,16.828310502283106,964.0957305936073,61.68287671232877,0.1542283105022831,0.5913892694063927,4.334132420091324,135.92260273972602,14.709155251141553,27.188093607305937,0.4062574200913242,140.82545662100458,73.12351598173515
1999,24.04519406392694,87.38538812785389,21.746381278538813,0.40950913242009135,22.7324200913242,962.7847716894977,78.29554794520548,0.13118493150684932,0.3982933789954338,4.527945205479452,152.54703196347032,15.586381278538814,25.547374429223744,0.4762336757990867,107.19292237442923,79.71735159817352
2000,24.12757285974499,87.42725409836065,21.837739071038254,0.3714025500910747,22.774248633879782,962.6284039162114,76.08344717668488,0.13455601092896174,0.39846425318761386,4.4483265027322405,161.71482240437157,15.345241347905283,25.592395264116576,0.47720047814207656,112.5264116575592,79.20981329690346
