,Year,Location,Wind_Direction,Wind_Speed_(km/h),temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),surface_pressure (hPa),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),direct_radiation (W/m²),diffuse_radiation (W/m²),rain (mm),weathercode (wmo code),windgusts_10m (km/h),cloudcover (%),Production (mt),Area (ha),Yield (mt/ha)
0,1990,AGUSAN DEL NORTE,6,4.1,25.15,78.36,20.88,975.3,0.16,0.75,26.01,0.28,140.02,70.89,1701.0,1,9.4,100,226.68,200.0,1.1334
1,1991,AGUSAN DEL NORTE,8,3.1,25.06,77.99,20.73,975.55,0.16,0.76,25.89,0.27,138.79,73.8,1634.2,1,11.5,100,231.68,204.0,1.135686275
2,1992,AGUSAN DEL NORTE,8,3.1,25.39,74.29,20.11,975.9,0.17,0.92,26.9,0.21,144.62,73.53,1433.2,1,7.9,100,219.08,199.0,1.100904523
3,1993,AGUSAN DEL NORTE,8,3.6,24.92,79.6,20.94,975.66,0.15,0.7,25.73,0.28,136.18,72.02,2017.8,1,8.3,100,231.47,203.0,1.140246305
4,1994,AGUSAN DEL NORTE,6,3.6,24.96,79.45,20.96,975.32,0.15,0.7,25.74,0.29,137.68,71.24,1722.0,1,8.6,100,238.09,208.0,1.144663462
5,1995,AGUSAN DEL NORTE,8,3.1,24.98,79.8,21.04,975.32,0.15,0.69,25.96,0.28,134.48,70.57,2191.8,1,9.4,100,243.59,211.0,1.154454976
6,1996,AGUSAN DEL NORTE,6,3.6,24.64,82.77,21.38,974.6,0.14,0.58,25.33,0.35,126.71,71.4,2787.9,51,9.0,100,250.06,213.0,1.17399061
7,1997,AGUSAN DEL NORTE,6,3.1,24.79,80.12,20.95,976.27,0.15,0.68,25.49,0.31,141.1,68.02,1906.2,1,8.3,100,258.22,215.0,1.201023256
8,1998,AGUSAN DEL NORTE,8,5.4,25.74,75.04,20.63,976.13,0.17,0.91,27.07,0.21,149.94,68.25,1531.9,1,8.6,100,265.78,216.0,1.230462963
9,1999,AGUSAN DEL NORTE,8,3.6,24.5,83.77,21.46,974.47,0.14,0.53,25.23,0.38,121.62,73.48,2871.6,1,11.2,100,242.32,212.0,1.143018868
10,2000,AGUSAN DEL NORTE,8,3.1,24.64,82.88,21.41,974.28,0.14,0.57,25.22,0.37,123.48,73.52,2651.3,1,9.4,100,266.77,214.0,1.246588785
11,2001,AGUSAN DEL NORTE,6,3.1,24.81,82.09,21.41,974.54,0.15,0.6,25.36,0.37,126.84,72.8,2353.3,1,11.2,100,269.16,214.0,1.257757009
12,2002,AGUSAN DEL NORTE,6,3.1,24.84,80.78,21.16,975.44,0.15,0.65,25.37,0.33,135.35,70.14,1854.5,1,9.4,100,272.86,214.0,1.275046729
13,2003,AGUSAN DEL NORTE,6,3.6,24.88,81.12,21.25,975.34,0.14,0.64,25.67,0.3,123.89,73.17,2220.0,1,8.3,100,320.58,262.0,1.223587786
14,2004,AGUSAN DEL NORTE,6,3.6,25.12,79.94,21.23,975.01,0.15,0.69,25.84,0.29,139.04,70.98,1440.0,1,7.9,100,329.2,263.0,1.251711027
15,2005,AGUSAN DEL NORTE,6,3.1,25.09,79.33,21.06,975.42,0.15,0.71,26.07,0.26,133.55,70.84,2242.4,1,9.0,100,305.84,263.0,1.162889734
16,2006,AGUSAN DEL NORTE,8,3.1,25.05,80.11,21.21,975.1,0.15,0.68,25.66,0.32,134.18,71.13,1902.5,1,8.6,100,319.76,260.0,1.229846154
17,2007,AGUSAN DEL NORTE,8,3.6,25.05,80.21,21.23,974.68,0.15,0.68,25.81,0.29,129.42,71.75,2381.2,1,10.4,100,390.0,285.0,1.368421053
18,2008,AGUSAN DEL NORTE,8,3.1,24.76,81.58,21.25,974.61,0.15,0.62,25.32,0.35,127.42,72.8,2576.3,1,11.5,100,448.0,285.0,1.571929825
