,Location,Year,Production (mt),Area (ha),Yield (mt/ha)
0,ZAMBOANGA DEL NORTE,1990,41.14,91,0.452087912
1,ZAMBOANGA DEL SUR,1990,105.45,156,0.675961538
2,ZAMBOANGA CITY,1990,207.2,296,0.7
3,BUKIDNON,1990,5791.27,12752,0.454146016
4,CAMIGUIN,1990,151.44,70.5,2.148085106
5,LANAO DEL NORTE,1990,54.11,265,0.204188679
6,MISAMIS OCCIDENTAL,1990,10.3,116,0.088793103
7,MISAMIS ORIENTAL,1990,761.18,1159,0.656755824
8,DAVAO DEL NORTE,1990,11718.27,12280,0.954256515
9,DAVAO DEL SUR,1990,10031.99,7090,1.414949224
10,DAVAO ORIENTAL,1990,1516.34,1460,1.038589041
11,DAVAO CITY,1990,7007.71,5620,1.246923488
12,COTABATO,1990,495.98,977,0.50765609
13,SARANGANI,1990,104.19,108,0.964722222
14,SULTAN KUDARAT,1990,4295.31,4424,0.97091094
15,SOUTH COTABATO,1990,1361.75,955,1.42591623
16,AGUSAN DEL NORTE,1990,226.68,200,1.1334
17,AGUSAN DEL SUR,1990,1830.19,1738,1.053043728
18,SURIGAO DEL NORTE,1990,14.15,16,0.884375
19,SURIGAO DEL SUR,1990,3416.7,2810,1.215907473
20,BASILAN,1990,1168.26,2711,0.430933235
21,LANAO DEL SUR,1990,282.04,2041,0.138187163
22,MAGUINDANAO,1990,1780.19,2368,0.751769426
23,SULU,1990,2213.85,848,2.61067217
24,ZAMBOANGA DEL NORTE,1991,53.28,108,0.493333333
25,ZAMBOANGA DEL SUR,1991,106.66,159,0.67081761
26,ZAMBOANGA CITY,1991,194.35,299,0.65
27,BUKIDNON,1991,5779.85,12752,0.453250471
28,CAMIGUIN,1991,115.13,63.5,1.813070866
29,LANAO DEL NORTE,1991,40.01,200,0.20005
30,MISAMIS OCCIDENTAL,1991,7.39,116,0.063706897
31,MISAMIS ORIENTAL,1991,951.48,1159,0.820949094
32,DAVAO DEL NORTE,1991,11999.41,12284,0.976832465
33,DAVAO DEL SUR,1991,9580.59,7070,1.355104668
34,DAVAO ORIENTAL,1991,1557.3,1501,1.037508328
35,DAVAO CITY,1991,7110.4,5639,1.26093279
36,COTABATO,1991,493.33,982,0.502372709
37,SARANGANI,1991,102.65,119,0.862605042
38,SULTAN KUDARAT,1991,5038.33,5777,0.872136057
39,SOUTH COTABATO,1991,1176.18,959,1.226465068
40,AGUSAN DEL NORTE,1991,231.68,204,1.135686275
41,AGUSAN DEL SUR,1991,1409.66,1597,0.882692549
42,SURIGAO DEL NORTE,1991,11.75,15,0.783333333
43,SURIGAO DEL SUR,1991,3416.9,2808,1.216844729
44,BASILAN,1991,1311.2,2845,0.460878735
45,LANAO DEL SUR,1991,377.65,2492,0.151544944
46,MAGUINDANAO,1991,2307.36,3194,0.722404508
47,SULU,1991,2209.1,850,2.598941176
48,ZAMBOANGA DEL NORTE,1992,71.34,114,0.625789474
49,ZAMBOANGA DEL SUR,1992,103.97,157,0.662229299
50,ZAMBOANGA CITY,1992,211.4,302,0.7
51,BUKIDNON,1992,5466.31,12720,0.429741352
52,CAMIGUIN,1992,110.07,62.5,1.76112
53,LANAO DEL NORTE,1992,39.47,200,0.19735
54,MISAMIS OCCIDENTAL,1992,7.12,116,0.06137931
55,MISAMIS ORIENTAL,1992,856.33,1043,0.821025887
56,DAVAO DEL NORTE,1992,11997.91,12288,0.976392415
57,DAVAO DEL SUR,1992,9384.57,6825,1.375028571
58,DAVAO ORIENTAL,1992,1584.66,1499,1.057144763
59,DAVAO CITY,1992,6303.5,5639,1.117840043
60,COTABATO,1992,518.59,982,0.528095723
61,SARANGANI,1992,106.35,131,0.811832061
62,SULTAN KUDARAT,1992,5725.37,5777,0.991062835
63,SOUTH COTABATO,1992,1586.95,960,1.653072917
64,AGUSAN DEL NORTE,1992,219.08,199,1.100904523
65,AGUSAN DEL SUR,1992,1312.4,1597,0.821790858
66,SURIGAO DEL NORTE,1992,10.38,15,0.692
67,SURIGAO DEL SUR,1992,3416.8,2808,1.216809117
68,BASILAN,1992,1246.86,2837,0.439499471
69,LANAO DEL SUR,1992,352.45,2464,0.143039773
70,MAGUINDANAO,1992,1964.83,3166,0.620603285
71,SULU,1992,2214.05,900,2.460055556
72,ZAMBOANGA DEL NORTE,1993,78.88,123,0.641300813
73,ZAMBOANGA DEL SUR,1993,106.68,157,0.679490446
74,ZAMBOANGA CITY,1993,198.25,305,0.65
75,BUKIDNON,1993,5349.88,12715,0.420753441
76,CAMIGUIN,1993,96.49,60,1.608166667
77,LANAO DEL NORTE,1993,39.64,200,0.1982
78,MISAMIS OCCIDENTAL,1993,10.97,115,0.095391304
79,MISAMIS ORIENTAL,1993,770.7,938,0.821641791
80,DAVAO DEL NORTE,1993,11850.15,12303,0.963191904
81,DAVAO DEL SUR,1993,8630.43,6625,1.302706415
82,DAVAO ORIENTAL,1993,1546.55,1491,1.037256875
83,DAVAO CITY,1993,6453.1,5644,1.143355776
84,COTABATO,1993,544.95,982,0.5549389
85,SARANGANI,1993,112.83,144,0.783541667
86,SULTAN KUDARAT,1993,5376.25,5802,0.926620131
87,SOUTH COTABATO,1993,1562.64,960,1.62775
88,AGUSAN DEL NORTE,1993,231.47,203,1.140246305
89,AGUSAN DEL SUR,1993,1703.81,1597,1.066881653
90,SURIGAO DEL NORTE,1993,7.45,13,0.573076923
91,SURIGAO DEL SUR,1993,3402.38,2780,1.223877698
92,BASILAN,1993,1169.64,2783,0.420280273
93,LANAO DEL SUR,1993,351.13,2416,0.145335265
94,MAGUINDANAO,1993,2352.23,3285,0.71605175
95,SULU,1993,2317.91,923,2.51127844
96,ZAMBOANGA DEL NORTE,1994,85.71,128,0.669609375
97,ZAMBOANGA DEL SUR,1994,106.72,158,0.675443038
98,ZAMBOANGA CITY,1994,207.2,296.09,0.699787227
99,BUKIDNON,1994,5096.7,12135,0.42
100,CAMIGUIN,1994,62.98,62.5,1.00768
101,LANAO DEL NORTE,1994,37.97,190,0.199842105
102,MISAMIS OCCIDENTAL,1994,10.97,115,0.095391304
103,MISAMIS ORIENTAL,1994,693.62,938,0.739466951
104,DAVAO DEL NORTE,1994,12723.66,12312,1.033435673
105,DAVAO DEL SUR,1994,8345.48,6120,1.363640523
106,DAVAO ORIENTAL,1994,1508,1483,1.016857721
107,DAVAO CITY,1994,6542.34,5544,1.180075758
108,COTABATO,1994,546.29,990,0.551808081
109,SARANGANI,1994,85.99,144,0.597152778
110,SULTAN KUDARAT,1994,6850.59,6822,1.004190853
111,SOUTH COTABATO,1994,1564.33,965,1.621067358
112,AGUSAN DEL NORTE,1994,238.09,208,1.144663462
113,AGUSAN DEL SUR,1994,1418.49,1571.85,0.902433438
114,SURIGAO DEL NORTE,1994,7.35,12,0.6125
115,SURIGAO DEL SUR,1994,3438.7,2780,1.236942446
116,BASILAN,1994,1161.13,2783,0.417222422
117,LANAO DEL SUR,1994,351.85,2399,0.146665277
118,MAGUINDANAO,1994,2352.32,3277,0.717827281
119,SULU,1994,2227.29,924,2.410487013
120,ZAMBOANGA DEL NORTE,1995,97.46,136,0.716617647
