,Location,Year,Production (mt),Area (ha),Yield (mt/ha)
0,ABRA,1990,7,5,1.4
1,BENGUET,1990,184,153,1.202614379
2,IFUGAO,1990,2253,2707,0.832286664
3,KALINGA,1990,2570,1688,1.522511848
4,MOUNTAIN PROVINCE,1990,362,1000,0.362
5,ILOCOS NORTE,1990,1,7,0.142857143
6,ILOCOS SUR,1990,21,41,0.512195122
7,LA UNION,1990,2,2,1
8,PANGASINAN,1990,4,5,0.8
9,CAGAYAN,1990,7,52,0.134615385
10,ISABELA,1990,65,110,0.590909091
11,NUEVA VIZCAYA,1990,480,1479,0.324543611
12,QUIRINO,1990,65,533,0.12195122
13,AURORA,1990,503,1132,0.44434629
14,BATAAN,1990,135,368,0.366847826
15,BULACAN,1990,1800,900,2
16,PAMPANGA,1990,11,4,2.75
17,BATANGAS,1990,4322,2934,1.473074301
18,CAVITE,1990,11036,9167,1.203883495
19,LAGUNA,1990,386,714,0.540616246
20,QUEZON,1990,170,425,0.4
21,RIZAL,1990,175,73,2.397260274
22,MARINDUQUE,1990,12,9,1.333333333
23,ORIENTAL MINDORO,1990,1469,1000,1.469
24,PALAWAN,1990,31,126,0.246031746
25,ROMBLON,1990,2,12,0.166666667
26,ALBAY,1990,116,192,0.604166667
27,CAMARINES NORTE,1990,178,247,0.720647773
28,CAMARINES SUR,1990,463,943,0.490986214
29,SORSOGON,1990,198,369,0.536585366
30,AKLAN,1990,13,62,0.209677419
31,ANTIQUE,1990,27,25,1.08
32,CAPIZ,1990,2101,2086,1.007190796
33,GUIMARAS,1990,1,16,0.0625
34,ILOILO,1990,2047,3894,0.525680534
35,NEGROS OCCIDENTAL,1990,2141,2897,0.739040387
36,BOHOL,1990,18,108.4571429,0.165964173
37,CEBU,1990,7,11,0.636363636
38,NEGROS ORIENTAL,1990,596,895,0.665921788
39,EASTERN SAMAR,1990,6,4,1.5
40,LEYTE,1990,21,23,0.913043478
41,SAMAR,1990,4,7,0.571428571
42,SOUTHERN LEYTE,1990,173,255,0.678431373
43,ABRA,1991,6,5,1.2
44,BENGUET,1991,184,153,1.202614379
45,IFUGAO,1991,1987,2571,0.772851031
46,KALINGA,1991,2705,1843,1.467715681
47,MOUNTAIN PROVINCE,1991,362,1050,0.344761905
48,ILOCOS NORTE,1991,1,7,0.142857143
49,ILOCOS SUR,1991,21,41,0.512195122
50,LA UNION,1991,3,2,1.5
51,PANGASINAN,1991,4,5,0.8
52,CAGAYAN,1991,7,52,0.134615385
53,ISABELA,1991,68,115,0.591304348
54,NUEVA VIZCAYA,1991,480,1479,0.324543611
55,QUIRINO,1991,73,532,0.137218045
56,AURORA,1991,625,1169,0.534644996
57,BATAAN,1991,80,300,0.266666667
58,BULACAN,1991,1697,857,1.980163361
59,PAMPANGA,1991,5,4,1.25
60,BATANGAS,1991,4386,2945,1.489303905
