,surface_pressure (hPa),diffuse_radiation (W/m²),rain (mm),windgusts_10m (km/h),Yield (mt/ha)
0,975.3,70.89,1701.0,9.4,1.1334
1,975.55,73.8,1634.2,11.5,1.135686275
2,975.9,73.53,1433.2,7.9,1.100904523
3,975.66,72.02,2017.8,8.3,1.140246305
4,975.32,71.24,1722.0,8.6,1.144663462
5,975.32,70.57,2191.8,9.4,1.154454976
6,974.6,71.4,2787.9,9.0,1.17399061
7,976.27,68.02,1906.2,8.3,1.201023256
8,976.13,68.25,1531.9,8.6,1.230462963
9,974.47,73.48,2871.6,11.2,1.143018868
10,974.28,73.52,2651.3,9.4,1.246588785
11,974.54,72.8,2353.3,11.2,1.257757009
12,975.44,70.14,1854.5,9.4,1.275046729
13,975.34,73.17,2220.0,8.3,1.223587786
14,975.01,70.98,1440.0,7.9,1.251711027
15,975.42,70.84,2242.4,9.0,1.162889734
16,975.1,71.13,1902.5,8.6,1.229846154
17,974.68,71.75,2381.2,10.4,1.368421053
18,974.61,72.8,2576.3,11.5,1.571929825
19,974.49,71.91,2754.4,10.1,0.7
20,975.25,69.2,2014.1,10.8,0.576533333
21,974.22,75.86,3301.3,7.9,0.318466667
22,974.65,71.51,2306.0,7.9,0.203782383
23,974.78,72.69,2731.4,11.5,0.161709845
24,975.02,72.5,3327.8,8.6,0.178290155
25,975.96,68.12,2182.3,7.9,0.203445596
26,975.63,71.18,2022.5,10.8,0.216756098
27,974.96,74.44,2796.8,8.6,0.204878049
28,974.86,71.13,1979.2,7.9,0.195902439
29,975.81,70.61,1633.5,9.0,0.220439024
30,975.6,71.54,2079.5,7.9,0.306024096
31,974.91,71.93,3150.3,9.0,0.232758065
32,1008.17,68.39,1511.4,10.4,1.053043728
33,1008.43,71.11,1408.8,10.4,0.882692549
34,1008.75,70.73,1112.4,11.5,0.821790858
35,1008.55,69.35,1800.5,14.4,1.066881653
36,1008.23,68.97,1733.0,11.5,0.902433438
37,1008.18,68.18,2214.0,12.2,0.883023189
38,1007.48,69.36,2927.0,10.4,0.770546069
39,1009.22,65.62,1632.4,10.8,0.885573333
40,1008.86,65.34,1616.1,11.5,0.47144
41,1007.34,71.44,2877.2,12.2,0.46732
42,1007.13,71.17,2590.4,12.6,0.263868966
43,1007.41,70.56,2292.5,11.2,0.257710345
44,1008.35,67.89,1763.8,11.2,0.255546667
45,1008.26,71.22,2098.9,10.1,0.227290909
46,1007.91,68.68,1555.1,9.4,0.219787879
47,1008.3,68.53,2320.3,11.2,0.24458
48,1007.96,68.83,1838.1,10.8,0.235053333
49,1007.51,69.77,2097.4,10.4,0.242405498
50,1007.45,70.67,2497.6,13.0,0.250453608
51,1007.34,69.75,2562.9,11.9,0.239628866
52,1008.03,67.27,2113.6,11.5,0.208919477
53,1007.09,73.94,3106.6,11.5,0.162374398
54,1007.47,69.14,1905.1,10.4,0.156151724
55,1007.63,70.35,2642.8,10.8,0.042958621
56,1007.94,70.19,3749.3,11.2,0.025067568
57,1008.87,65.96,2184.5,11.2,0.02646
58,1008.41,68.5,1840.9,11.9,0.020566667
59,1007.82,72.56,2859.4,10.8,0.06284
60,1007.71,69.14,2006.4,10.1,0.061173333
61,1008.67,68.34,1509.9,12.2,0.065506579
62,1008.38,69.54,1937.2,11.9,0.068203593
63,1007.74,69.92,3130.5,10.1,0.067742515
64,1009.14,68.15,1579.6,14.0,0.430933235
65,1009.34,71.56,1087.6,14.8,0.460878735
66,1009.66,74.07,1383.2,14.0,0.439499471
67,1009.53,71.8,1543.4,14.4,0.420280273
68,1009.32,71.18,1625.2,13.7,0.417222422
69,1009.05,73.34,1911.2,14.4,0.405829741
70,1008.48,74.98,2246.6,13.7,0.380226293
71,1010.14,69.57,1263.4,14.8,0.518048261
72,1009.6,69.9,1911.8,15.8,0.498463449
73,1008.35,78.65,2541.1,14.4,0.459709729
74,1008.19,77.28,2220.6,12.2,0.648310974
75,1008.52,74.72,2186.2,13.7,0.630302718
76,1009.3,68.46,1200.3,12.2,0.618400413
77,1009.22,72.29,1511.0,11.9,0.74371173
78,1009.05,70.94,1395.2,13.7,0.614072927
79,1009.28,73.53,1895.5,12.2,0.599091847
80,1009.03,74.06,1742.1,14.0,0.608169935
81,1008.5,74.11,2104.5,11.9,0.613292054
82,1008.42,76.63,2524.3,13.3,0.597007224
83,1008.5,76.12,1843.9,12.6,0.591761266
84,1008.75,71.63,2304.5,11.2,0.57619539
85,1008.16,80.29,2729.4,13.0,0.565703474
86,1008.53,75.34,2281.3,13.7,0.548558652
87,1008.64,74.66,2640.8,13.7,0.532948056
88,1009.07,73.4,1821.7,13.0,0.521499828
89,1009.85,69.35,1403.7,13.7,0.521155831
90,1009.35,71.15,2076.4,13.7,0.505675955
91,1008.81,77.25,2674.1,12.6,0.507086343
92,1008.84,72.31,1718.6,12.2,0.547027864
93,1009.65,68.99,1383.1,11.9,0.531131751
94,1009.22,70.47,2371.8,13.7,0.542844857
95,1008.8,76.32,2373.4,11.9,0.491847265
96,932.2933333333334,70.59166666666667,1983.5333333333333,11.5,0.454146016
97,932.4483333333332,75.24333333333333,1659.7,11.9,0.453250471
98,932.7533333333334,74.79166666666667,1837.1,10.1,0.429741352
99,932.5516666666666,73.68166666666667,2154.8166666666666,9.7,0.420753441
100,932.3133333333334,72.56833333333334,1988.6666666666667,10.4,0.42
101,932.2016666666668,72.79833333333333,2656.866666666667,7.6,0.418060167
102,931.555,73.86833333333333,2741.4500000000003,10.8,0.416072302
103,933.115,69.77333333333333,2164.9500000000003,9.0,0.4
104,933.0,69.54,2128.05,7.9,0.400189723
