,Year,Location,Production (mt),Area (ha),Yield (mt/ha),weathercode (wmo code),temperature_2m (°C),relativehumidity_2m (%),dewpoint_2m (°C),rain (mm),surface_pressure (hPa),cloudcover (%),et0_fao_evapotranspiration (mm),vapor_pressure_deficit (kPa),windspeed_10m (km/h),winddirection_10m (°),windgusts_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),direct_radiation (W/m²),diffuse_radiation (W/m²)
0,1990,ZAMBOANGA DEL NORTE,41.14,91.0,0.4520879120879121,3,23.486278538812783,86.20045662100456,20.89923515981735,0.3651255707762557,947.709497716895,70.1546803652968,0.1532328767123287,0.4357385844748858,6.732808219178082,144.3123287671233,19.89493150684932,25.227020547945205,0.4018526255707762,151.11906392694064,70.72054794520548
1,1991,ZAMBOANGA DEL NORTE,53.28,108.0,0.4933333333333333,3,23.378607305936075,86.40399543378996,20.8562100456621,0.2924429223744292,947.8978310502284,71.52465753424657,0.1530913242009132,0.4224269406392694,6.505616438356164,138.69109589041096,19.141392694063928,25.07466894977169,0.4040631278538812,147.8458904109589,75.08025114155251
2,1992,ZAMBOANGA DEL NORTE,71.34,114.0,0.6257894736842106,3,23.25315346083789,86.11122495446266,20.6640141165756,0.3205601092896175,948.140300546448,66.84301001821494,0.1540163934426229,0.4305225409836065,5.957604735883424,143.27823315118397,18.11448087431694,25.086202185792352,0.39990220856102,149.37420309653916,74.63262750455374
3,1993,ZAMBOANGA DEL NORTE,78.88,123.0,0.64130081300813,3,23.086187214611872,88.17157534246576,20.931312785388126,0.4130821917808219,947.9780593607304,72.9791095890411,0.1473595890410959,0.3600216894977169,5.7026369863013695,151.70285388127854,17.35154109589041,24.70076484018265,0.4505541095890411,141.23801369863014,75.79931506849314
4,1994,ZAMBOANGA DEL NORTE,85.71,128.0,0.669609375,3,23.10021689497717,88.40114155251142,20.990673515981733,0.3914269406392694,947.781906392694,76.48253424657534,0.144708904109589,0.352925799086758,5.919954337899544,154.06381278538814,18.40312785388128,24.679965753424657,0.4382534246575342,139.64531963470318,73.63356164383562
5,1995,ZAMBOANGA DEL NORTE,97.46,136.0,0.7166176470588235,3,23.28022831050228,88.1398401826484,21.116278538812782,0.4176141552511416,947.5852853881278,76.20970319634704,0.1465856164383561,0.3647180365296803,5.593664383561644,148.48025114155251,17.14099315068493,24.924566210045665,0.4405803652968036,140.20513698630137,74.21940639269407
6,1996,ZAMBOANGA DEL NORTE,113.43,143.0,0.7932167832167832,51,23.086304644808745,88.93966302367942,21.0845514571949,0.4792805100182149,946.985450819672,80.29462659380692,0.1395890255009107,0.3354838342440801,5.702618397085611,161.06477686703096,16.74936247723133,24.67290528233151,0.4585578324225865,127.5580601092896,76.99726775956285
7,1997,ZAMBOANGA DEL NORTE,127.48,153.0,0.8332026143790849,3,23.148618721461187,87.11210045662101,20.78318493150685,0.3607648401826484,948.6010730593608,72.95194063926941,0.151162100456621,0.3945570776255708,6.069531963470319,145.6818493150685,18.21473744292237,24.721826484018266,0.4299488584474886,149.774200913242,71.76894977168949
8,1998,ZAMBOANGA DEL NORTE,125.9,153.0,0.8228758169934641,3,24.033299086757992,84.42214611872146,21.03824200913242,0.3533333333333333,948.2409360730592,65.49931506849315,0.161357305936073,0.5124086757990868,5.1587899543379,144.00719178082193,16.373892694063926,26.01801369863013,0.4076010273972603,156.9267123287671,70.2101598173516
9,1999,ZAMBOANGA DEL NORTE,133.5,160.0,0.834375,3,23.097705479452053,88.90970319634704,21.09251141552512,0.5214155251141553,946.8635388127854,81.98481735159817,0.1357728310502283,0.3366997716894977,5.111095890410959,161.98778538812786,16.580730593607306,24.68159817351598,0.4705776255707762,118.54029680365296,78.77545662100457
10,2000,ZAMBOANGA DEL NORTE,142.33,160.0,0.8895625,3,23.216211293260475,88.71220400728598,21.16392304189436,0.4483606557377049,946.7163023679416,79.36168032786885,0.1390129781420765,0.346613160291439,5.068989071038251,172.83094262295083,16.39219034608379,24.768886612021856,0.4617603597449909,123.89981785063752,77.95742258652095
11,2001,ZAMBOANGA DEL NORTE,155.59,163.0,0.9545398773006136,3,23.25528538812785,88.58356164383562,21.1827397260274,0.4100228310502283,947.0390068493152,78.11449771689497,0.1418641552511415,0.3504748858447488,5.591187214611873,162.9172374429224,17.495673515981736,24.83937214611872,0.4653735159817351,130.56506849315068,76.42671232876712
12,2002,ZAMBOANGA DEL NORTE,189.54,233.0,0.8134763948497854,3,23.30625570776256,87.34646118721462,20.985091324200912,0.3467237442922374,947.8508561643836,73.66301369863014,0.148,0.3901221461187214,6.279520547945205,144.03002283105022,18.798778538812783,24.821438356164386,0.4204410958904109,145.47785388127855,70.97191780821917
13,2003,ZAMBOANGA DEL NORTE,191.99,233.0,0.823991416309013,3,23.26036529680365,87.64942922374429,20.99579908675799,0.3967351598173516,947.7626598173516,75.68253424657534,0.1426586757990867,0.380195205479452,6.425308219178082,140.6038812785388,19.052054794520547,24.89420091324201,0.4230447488584474,134.01963470319637,74.6115296803653
14,2004,ZAMBOANGA DEL NORTE,275.06,367.0,0.7494822888283379,3,23.285439435336976,88.06215846994536,21.107912112932603,0.340459927140255,947.5486111111112,73.78016848816029,0.1453346994535519,0.3674635701275046,6.083743169398907,149.89560564663023,18.39995446265938,24.808151183970853,0.422888091985428,139.55954007285973,73.80897085610201
15,2005,ZAMBOANGA DEL NORTE,292.03,369.0,0.7914092140921408,3,23.382134703196343,86.75342465753425,20.922054794520548,0.3961073059360731,947.8190753424656,73.92123287671232,0.1461438356164383,0.4125536529680365,5.698949771689498,152.23881278538812,17.767888127853883,25.051118721461187,0.4246047945205479,137.67043378995433,73.17796803652968
16,2006,ZAMBOANGA DEL NORTE,320.79,385.0,0.8332207792207793,3,23.337294520547943,88.33630136986301,21.215011415525115,0.3923173515981735,947.5423858447488,74.17671232876712,0.1422077625570776,0.359681506849315,5.473744292237443,153.15068493150685,17.295125570776253,24.79670091324201,0.4537735159817351,133.4203196347032,74.20730593607306
17,2007,ZAMBOANGA DEL NORTE,352.39,400.0,0.880975,3,23.379965753424656,88.23333333333333,21.233527397260275,0.4311529680365297,947.0805707762556,76.17865296803653,0.1419474885844749,0.3637031963470319,5.711244292237443,154.3296803652968,17.76760273972603,24.936232876712328,0.4437127853881278,131.9203196347032,74.62511415525114
18,2008,ZAMBOANGA DEL NORTE,378.42,410.0,0.9229756097560976,3,23.20269808743169,88.87613843351548,21.18566712204008,0.4697404371584699,946.961327413479,78.98269581056466,0.1400273224043715,0.3409005009107468,5.013729508196721,160.35667122040073,16.157274590163933,24.765050091074684,0.4697101548269581,126.81352459016394,76.74020947176685
19,2009,ZAMBOANGA DEL NORTE,403.72,415.0,0.972819277108434,3,23.321940639269407,88.7851598173516,21.287842465753425,0.4636643835616438,947.0633447488584,76.65547945205479,0.1391974885844749,0.3449509132420091,5.952579908675799,162.99623287671233,18.667511415525112,24.786392694063924,0.4592979452054794,126.9046803652968,76.10787671232876
20,2010,ZAMBOANGA DEL NORTE,405.98,420.0,0.9666190476190476,3,23.677545662100457,87.50833333333334,21.372237442922373,0.4354566210045662,947.4548858447488,73.06164383561644,0.1492705479452054,0.396093607305936,5.239657534246575,145.39531963470318,16.218093607305935,25.309863013698628,0.4388424657534246,141.54349315068492,73.43253424657534
21,2011,ZAMBOANGA DEL NORTE,346.71,361.0,0.960415512465374,3,23.224874429223743,89.2763698630137,21.29126712328767,0.5505365296803653,946.7233904109588,81.62625570776255,0.1326872146118721,0.3267614155251141,5.736940639269406,155.95148401826484,17.6938698630137,24.69114155251141,0.4731046803652968,113.63173515981735,79.76872146118721
22,2012,ZAMBOANGA DEL NORTE,347.38,365.0,0.9517260273972604,3,23.330168488160293,88.6120218579235,21.264093806921675,0.4836293260473588,947.0698315118398,78.19820127504553,0.1401058743169399,0.3501423041894353,5.721493624772313,161.41632513661202,17.93365209471767,24.83158014571949,0.4633061247723133,128.47370218579235,75.85336976320583
23,2013,ZAMBOANGA DEL NORTE,349.75,365.0,0.9582191780821918,3,23.374783105022832,88.79292237442922,21.3381392694064,0.4897602739726027,947.1941324200913,78.3574200913242,0.1373139269406393,0.3466152968036529,5.5446689497716894,157.09874429223746,17.130547945205482,24.8328196347032,0.4684666666666666,123.85913242009131,75.71255707762558
24,2014,ZAMBOANGA DEL NORTE,369.58,370.0,0.9988648648648648,3,23.19150684931507,88.64748858447489,21.13239726027397,0.4467465753424657,947.5697602739724,76.6263698630137,0.1363595890410958,0.3456073059360731,6.209703196347032,153.74075342465753,18.746712328767124,24.6427397260274,0.4580511415525113,122.23150684931508,77.09726027397261
25,2015,ZAMBOANGA DEL NORTE,384.7,370.0,1.0397297297297297,3,23.455399543378995,87.02865296803652,21.06013698630137,0.3509246575342465,948.3751141552513,69.59235159817352,0.1478299086757991,0.4029360730593607,6.413595890410959,141.47054794520548,18.985502283105024,24.965605022831053,0.4325458904109588,145.18493150684932,70.1953196347032
26,2016,ZAMBOANGA DEL NORTE,292.0,378.0,0.7724867724867724,3,23.92654826958105,86.56045081967213,21.40510018214936,0.4319785974499089,948.0100182149364,69.95207194899818,0.150985883424408,0.4342065118397086,5.62964480874317,149.81671220400727,17.442964480874316,25.588274134790527,0.4251771402550091,142.6082650273224,72.97279143897997
27,2017,ZAMBOANGA DEL NORTE,229.76,483.0,0.4756935817805383,3,23.535205479452053,88.87625570776255,21.517568493150684,0.528310502283105,947.4204794520548,78.2271689497717,0.1365856164383561,0.3450239726027397,5.597602739726027,159.51769406392694,17.34230593607306,25.039086757990862,0.4640324200913241,119.6156392694064,78.21438356164384
28,2018,ZAMBOANGA DEL NORTE,235.98,483.0,0.4885714285714285,3,23.6474200913242,87.64566210045662,21.37982876712329,0.4123059360730594,947.442111872146,72.19303652968037,0.1464109589041095,0.388546803652968,6.020981735159817,155.22488584474883,18.223961187214613,25.174600456621004,0.4438651826484018,139.64280821917808,73.48002283105023
29,2019,ZAMBOANGA DEL NORTE,230.62,496.0,0.4649596774193548,3,23.71980593607305,85.47191780821917,20.99704337899544,0.3113356164383561,948.2628767123288,66.42237442922375,0.1528801369863013,0.4596198630136986,6.514360730593608,148.7079908675799,19.173139269406395,25.258961187214613,0.4277011415525114,147.25022831050228,72.37488584474886
30,2020,ZAMBOANGA DEL NORTE,261.47,510.0,0.512686274509804,3,23.825193533697632,86.71892076502732,21.34362477231329,0.4806693989071038,947.8856215846994,71.28734061930783,0.1475785519125683,0.4246243169398907,5.672529599271402,144.50933515482697,17.43241120218579,25.4235883424408,0.4350239071038251,138.16894353369764,73.26969489981785
31,2021,ZAMBOANGA DEL NORTE,209.05,514.0,0.4067120622568093,3,23.52256849315069,88.82111872146119,21.49214611872146,0.5442237442922374,947.3925342465752,76.86369863013698,0.1373938356164383,0.3477648401826484,5.532191780821917,160.27625570776254,17.003173515981732,25.00587899543379,0.4687631278538812,122.10650684931508,76.925
32,2022,ZAMBOANGA DEL NORTE,0.0,515.0,0.0,51,23.500700589970503,88.92453294001966,21.494776302851523,0.563716814159292,947.1959562438544,77.96681415929204,0.1365216322517207,0.3431465093411996,5.2202802359882,165.3623402163225,15.247984267453294,24.943018682399213,0.4738947885939036,118.03982300884957,79.53724188790561
33,1990,ZAMBOANGA DEL SUR,105.45,156.0,0.6759615384615385,1,24.65755707762557,83.29509132420091,21.456278538812786,0.2778082191780822,963.583116438356,64.97876712328767,0.1512408675799086,0.5574497716894977,5.624931506849316,142.03504566210046,17.946575342465753,26.5088698630137,0.4059828767123287,138.1966894977169,72.89200913242009
34,1991,ZAMBOANGA DEL SUR,106.66,159.0,0.6708176100628931,3,24.51304794520548,83.51095890410959,21.372248858447488,0.2370091324200913,963.7864155251142,65.40639269406392,0.1507009132420091,0.5430650684931507,5.349041095890411,132.63002283105024,16.822602739726026,26.36195205479452,0.4002739726027397,134.61198630136985,76.99292237442923
35,1992,ZAMBOANGA DEL SUR,103.97,157.0,0.6622292993630573,1,24.42469262295082,83.68693078324226,21.3333674863388,0.2482126593806922,964.0596880692168,63.05020491803279,0.1494102914389799,0.5333834244080146,4.886498178506376,141.3252504553734,16.070161657559197,26.336703096539164,0.396047131147541,134.22916666666666,76.97404371584699
36,1993,ZAMBOANGA DEL SUR,106.68,157.0,0.6794904458598726,3,24.22622146118721,85.59509132420091,21.55218036529681,0.3026940639269406,963.9175570776256,68.50970319634703,0.1439965753424657,0.4614121004566209,4.911666666666666,142.0302511415525,15.781849315068492,25.81904109589041,0.4238756849315068,127.49908675799088,77.75662100456621
37,1994,ZAMBOANGA DEL SUR,106.72,158.0,0.6754430379746835,3,24.166347031963472,86.15787671232877,21.6104794520548,0.3026369863013698,963.7119292237444,71.47191780821917,0.1417522831050228,0.4427054794520548,4.970011415525114,144.47968036529682,16.452682648401826,25.68543378995433,0.4344818493150685,127.34155251141551,75.51175799086758
38,1995,ZAMBOANGA DEL SUR,110.63,158.0,0.7001898734177215,3,24.357910958904107,85.59223744292237,21.6830593607306,0.3444406392694064,963.4815410958904,70.5,0.1429646118721461,0.4651906392694064,4.763173515981736,139.48858447488584,15.320593607305936,26.01051369863013,0.423211301369863,126.54680365296804,75.95445205479452
39,1996,ZAMBOANGA DEL SUR,96.33,153.0,0.6296078431372549,51,24.15869763205829,86.48998178506375,21.678187613843352,0.3515596539162113,962.9050318761384,75.96448087431693,0.1363706739526411,0.4278836520947177,5.01450364298725,162.18818306010928,15.538365209471769,25.63153460837887,0.4646037112932605,115.38615664845172,78.19626593806922
40,1997,ZAMBOANGA DEL SUR,107.93,154.0,0.7008441558441559,3,24.187100456621003,85.27111872146119,21.450730593607304,0.2854566210045662,964.5239497716896,68.71164383561644,0.1474337899543379,0.4709748858447488,5.067671232876712,136.55,16.122260273972604,25.677682648401827,0.4315873287671233,136.43401826484018,74.22614155251142
41,1998,ZAMBOANGA DEL SUR,105.15,153.0,0.6872549019607843,1,25.07396118721461,82.76027397260275,21.7425,0.2650684931506849,964.0957305936072,61.68287671232877,0.1542283105022831,0.5913892694063927,4.334132420091324,135.92260273972602,14.709155251141553,27.188093607305937,0.4062574200913242,140.82545662100458,73.12351598173515
42,1999,ZAMBOANGA DEL SUR,104.87,152.0,0.6899342105263159,3,24.04519406392694,87.38538812785389,21.746381278538813,0.4095091324200913,962.7847716894976,78.29554794520548,0.1311849315068493,0.3982933789954338,4.527945205479452,152.54703196347032,15.586381278538814,25.547374429223744,0.4762336757990867,107.19292237442924,79.71735159817352
43,2000,ZAMBOANGA DEL SUR,99.99,143.0,0.6992307692307692,3,24.12757285974499,87.42725409836065,21.837739071038254,0.3714025500910747,962.6284039162114,76.08344717668488,0.1345560109289617,0.3984642531876138,4.4483265027322405,161.71482240437155,15.345241347905285,25.592395264116576,0.4772004781420765,112.5264116575592,79.20981329690346
44,2001,ZAMBOANGA DEL SUR,103.27,136.0,0.7593382352941176,3,24.22019406392694,86.91837899543378,21.828607305936075,0.3340296803652968,962.95598173516,74.7587899543379,0.1377465753424657,0.4169680365296803,4.806974885844749,154.02180365296803,16.14527397260274,25.684315068493152,0.4699711187214612,118.57602739726028,78.22808219178083
