,Year,Location,Production (mt),Area (ha),Yield (mt/ha)
1,1990,ZAMBOANGA DEL NORTE,41.14,91.0,0.4520879120879121
2,1990,ZAMBOANGA DEL SUR,105.45,156.0,0.6759615384615385
3,1990,ZAMBOANGA SIBUGAY,0.0,0.0,
4,1990,CITY OF ZAMBOANGA,207.2,296.0,0.7
6,1990,BUKIDNON,5791.27,12752.0,0.4541460163111669
7,1990,CAMIGUIN,151.44,70.5,2.148085106382979
8,1990,LANAO DEL NORTE,54.11,265.0,0.20418867924528303
9,1990,MISAMIS OCCIDENTAL,10.3,116.0,0.08879310344827587
10,1990,MISAMIS ORIENTAL,761.18,1159.0,0.6567558239861949
12,1990,DAVAO DE ORO,0.0,0.0,
13,1990,DAVAO DEL NORTE,11718.27,12280.0,0.9542565146579804
14,1990,DAVAO DEL SUR,10031.99,7090.0,1.4149492242595205
15,1990,DAVAO OCCIDENTAL,0.0,0.0,
16,1990,DAVAO ORIENTAL,1516.34,1460.0,1.0385890410958905
17,1990,CITY OF DAVAO,7007.71,5620.0,1.246923487544484
19,1990,COTABATO,495.98,977.0,0.5076560900716479
20,1990,SARANGANI,104.19,108.0,0.9647222222222221
21,1990,SULTAN KUDARAT,4295.31,4424.0,0.9709109403254974
22,1990,SOUTH COTABATO,1361.75,955.0,1.425916230366492
24,1990,AGUSAN DEL NORTE,226.68,200.0,1.1334
25,1990,AGUSAN DEL SUR,1830.19,1738.0,1.0530437284234753
26,1990,DINAGAT ISLANDS,0.0,0.0,
27,1990,SURIGAO DEL NORTE,14.15,16.0,0.884375
28,1990,SURIGAO DEL SUR,3416.7,2810.0,1.2159074733096085
30,1990,BASILAN,1168.26,2711.0,0.4309332349686463
31,1990,LANAO DEL SUR,282.04,2041.0,0.13818716315531604
32,1990,MAGUINDANAO,1780.19,2368.0,0.7517694256756757
33,1990,SULU,2213.85,848.0,2.6106721698113207
34,1990,TAWI-TAWI,0.0,0.0,
36,1991,ZAMBOANGA DEL NORTE,53.28,108.0,0.49333333333333335
37,1991,ZAMBOANGA DEL SUR,106.66,159.0,0.6708176100628931
38,1991,ZAMBOANGA SIBUGAY,0.0,0.0,
39,1991,CITY OF ZAMBOANGA,194.35,299.0,0.65
41,1991,BUKIDNON,5779.85,12752.0,0.4532504705144291
42,1991,CAMIGUIN,115.13,63.5,1.8130708661417323
43,1991,LANAO DEL NORTE,40.01,200.0,0.20004999999999998
44,1991,MISAMIS OCCIDENTAL,7.39,116.0,0.06370689655172414
45,1991,MISAMIS ORIENTAL,951.48,1159.0,0.8209490940465919
47,1991,DAVAO DE ORO,0.0,0.0,
48,1991,DAVAO DEL NORTE,11999.41,12284.0,0.9768324649951156
49,1991,DAVAO DEL SUR,9580.59,7070.0,1.3551046676096181
50,1991,DAVAO OCCIDENTAL,0.0,0.0,
51,1991,DAVAO ORIENTAL,1557.3,1501.0,1.037508327781479
52,1991,CITY OF DAVAO,7110.4,5639.0,1.2609327895016846
54,1991,COTABATO,493.33,982.0,0.5023727087576375
55,1991,SARANGANI,102.65,119.0,0.8626050420168068
56,1991,SULTAN KUDARAT,5038.33,5777.0,0.8721360567768738
57,1991,SOUTH COTABATO,1176.18,959.0,1.2264650677789364
59,1991,AGUSAN DEL NORTE,231.68,204.0,1.135686274509804
60,1991,AGUSAN DEL SUR,1409.66,1597.0,0.882692548528491
61,1991,DINAGAT ISLANDS,0.0,0.0,
62,1991,SURIGAO DEL NORTE,11.75,15.0,0.7833333333333333
63,1991,SURIGAO DEL SUR,3416.9,2808.0,1.2168447293447293
65,1991,BASILAN,1311.2,2845.0,0.4608787346221441
