,Wind_Direction,Wind_Speed_(km/h),temperature_2m (°C),relativehumidity_2m (%),Yield (mt/ha)
0,6,4.1,25.15,78.36,1.1334
1,8,3.1,25.06,77.99,1.135686275
2,8,3.1,25.39,77.13997328234026,1.100904523
3,8,3.6,24.92,79.6,1.140246305
4,6,3.6,24.96,79.45,1.144663462
5,8,3.1,24.98,79.8,1.154454976
6,6,3.6,24.64,82.77,1.17399061
7,6,3.1,24.79,80.12,1.201023256
8,8,5.4,25.74,77.13997328234026,1.230462963
9,8,3.6,24.5,83.77,1.143018868
10,8,3.1,24.64,82.88,1.246588785
11,6,3.1,24.81,82.09,1.257757009
12,6,3.1,24.84,80.78,1.275046729
13,6,3.6,24.88,81.12,1.223587786
14,6,3.6,25.12,79.94,1.251711027
15,6,3.1,25.09,79.33,1.162889734
16,8,3.1,25.05,80.11,1.229846154
17,8,3.6,25.05,80.21,1.368421053
18,8,3.1,24.76,81.58,1.571929825
19,6,3.6,25.08,80.8,0.7
20,8,3.6,25.23,79.66,0.576533333
21,8,3.6,24.61,84.7,0.318466667
22,8,2.8,24.98,80.77,0.203782383
23,8,4.1,24.87,82.48,0.161709845
24,6,4.1,24.7,83.36,0.178290155
25,6,3.1,24.96,80.94,0.203445596
26,8,3.6,25.72,77.51,0.216756098
27,8,3.1,24.93,83.73,0.204878049
28,6,4.1,25.29,80.11,0.195902439
29,8,3.6,25.48,77.13997328234026,0.220439024
30,8,3.6,25.59,78.31,0.306024096
31,8,1.3,25.08,82.36,0.232758065
32,6,3.6,26.53,79.11,1.053043728
33,6,8.7,26.46,78.69,0.882692549
34,6,5.9,26.8,77.13997328234026,0.821790858
35,6,6.4,26.28,80.3,1.066881653
36,6,9.2,26.35,80.07,0.902433438
37,8,5.4,26.27,80.87,0.883023189
38,8,5.9,25.93,83.44,0.770546069
39,6,5.9,26.17,80.59,0.885573333
40,8,5.4,27.07,77.13997328234026,0.47144
41,8,5.4,25.79,84.3,0.46732
42,6,8.7,25.97,83.38,0.263868966
43,6,5.4,26.17,82.57,0.257710345
44,6,5.4,26.22,81.21,0.255546667
45,6,6.9,26.22,81.68,0.227290909
46,6,5.9,26.46,80.62,0.219787879
47,6,7.9,26.4,80.35,0.24458
48,6,5.4,26.38,80.95,0.235053333
49,6,5.4,26.38,81.02,0.242405498
50,8,5.4,26.07,82.32,0.250453608
51,6,5.9,26.43,81.32,0.239628866
52,8,5.4,26.56,80.62,0.208919477
53,6,5.9,25.93,84.96,0.162374398
54,6,5.9,26.34,81.36,0.156151724
55,6,5.4,26.21,83.07,0.042958621
56,6,8.4,26.03,83.83,0.025067568
57,6,5.4,26.36,81.38,0.02646
58,6,5.4,27.02,78.84,0.020566667
59,6,3.6,26.28,84.09,0.06284
60,6,11.5,26.69,80.7,0.061173333
